date,name,departure_time,price,cruise,starting,ending
2024-09-16,Wahab Movers Luxury 49,9:30 AM,2793.4294871794873,Luxury 49,Lahore,Rawalpindi
2024-09-16,Niazi Coach Luxury,9:30 AM,2793.4294871794873,Luxury,Lahore,Rawalpindi
2024-09-16,Faisal Express 34 Seater,9:30 AM,2793.4294871794873,34 Seater,Lahore,Rawalpindi
2024-09-18,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi Faizabad
2024-09-18,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi 26 No
2024-09-18,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi Kohistan Exp
2024-09-18,Skyways Executive Class,9:30 AM,2793.4294871794873,Executive Class,Lahore,Islamabad
2024-09-18,QConnect Business Class,9:30 AM,2793.4294871794873,Business Class,Lahore,Islamabad
2024-09-18,Wahab Movers Luxury 49,9:30 AM,2793.4294871794873,Luxury 49,Lahore,Rawalpindi
2024-09-18,Niazi Coach Luxury,9:30 AM,2793.4294871794873,Luxury,Lahore,Rawalpindi
2024-09-18,Faisal Express 34 Seater,9:30 AM,2793.4294871794873,34 Seater,Lahore,Rawalpindi
2024-09-17,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Lahore,Rawalpindi (Pirwadhai)
2024-09-17,Road Master Bus President Cruise,9:30 AM,2680.0,President Cruise,Lahore,Rawalpindi (26 No. ISB)
2024-09-17,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Lahore,Rawalpindi (26 No. ISB)
2024-09-17,Road Master Bus Premium Cruise,9:30 AM,1990.0,Premium Cruise,Lahore,Islamabad (FZB)
2024-09-17,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi 26 No
2024-09-17,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi Faizabad
2024-09-17,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi Kohistan Exp
2024-09-17,Skyways Executive Class,9:30 AM,2793.4294871794873,Executive Class,Lahore,Islamabad
2024-09-17,QConnect Business Class,9:30 AM,2793.4294871794873,Business Class,Lahore,Islamabad
2024-09-17,Wahab Movers Luxury 49,9:30 AM,2793.4294871794873,Luxury 49,Lahore,Rawalpindi
2024-09-17,Niazi Coach Luxury,9:30 AM,2793.4294871794873,Luxury,Lahore,Rawalpindi
2024-09-17,Faisal Express 34 Seater,9:30 AM,2793.4294871794873,34 Seater,Lahore,Rawalpindi
2024-09-19,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi Faizabad
2024-09-19,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi 26 No
2024-09-19,FM Bilal Travel Luxury,9:30 AM,1700.0,Luxury,Lahore,Rawalpindi Kohistan Exp
2024-09-19,Skyways Executive Class,9:30 AM,2793.4294871794873,Executive Class,Lahore,Islamabad
2024-09-19,QConnect Business Class,9:30 AM,2793.4294871794873,Business Class,Lahore,Islamabad
2024-09-19,Wahab Movers Luxury 49,9:30 AM,2793.4294871794873,Luxury 49,Lahore,Rawalpindi
2024-09-19,Niazi Coach Luxury,9:30 AM,2793.4294871794873,Luxury,Lahore,Rawalpindi
2024-09-19,Faisal Express 34 Seater,9:30 AM,2793.4294871794873,34 Seater,Lahore,Rawalpindi
2024-09-12,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,KARACHI BANARAS,RAWALPINDI (MAIN)
2024-09-12,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,KARACHI AL-ASIF,Rawalpindi
2024-09-12,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,Karachi,Rawalpindi
2024-09-12,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,KARACHI BAHRIA TOWN,Rawalpindi
2024-09-12,Daewoo Express Sleeper,9:30 AM,2793.4294871794873,Sleeper,Karachi,Rawalpindi
2024-09-12,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,Karachi,Rawalpindi
2024-09-12,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,KARACHI BAHRIA TOWN,Rawalpindi
2024-09-12,Kainat Travels Executive Class,9:30 AM,6200.0,Executive Class,Karachi,Rawalpindi
2024-09-12,Kainat Travels Business Plus,9:30 AM,6200.0,Business Plus,Karachi,Rawalpindi
2024-09-12,Kainat Travels Sleeper Class,9:30 AM,9500.0,Sleeper Class,Karachi,Rawalpindi
2024-09-12,Adil Express Luxury 49,9:30 AM,6750.0,Luxury 49,Karachi,Rawalpindi
2024-09-12,Warraich Express Executive,9:30 AM,2793.4294871794873,Executive,Karachi,Rawalpindi
2024-09-12,Warraich Express Executive Plus,9:30 AM,2793.4294871794873,Executive Plus,Karachi,Rawalpindi
2024-09-12,MG Transport 42 Seater,9:30 AM,6500.0,42 Seater,Karachi,Rawalpindi
2024-09-13,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,KARACHI BANARAS,RAWALPINDI (MAIN)
2024-09-13,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,KARACHI AL-ASIF,Rawalpindi
2024-09-13,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,Karachi,Rawalpindi
2024-09-13,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,KARACHI BAHRIA TOWN,Rawalpindi
2024-09-13,Daewoo Express Sleeper,9:30 AM,2793.4294871794873,Sleeper,Karachi,Rawalpindi
2024-09-13,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,Karachi,Rawalpindi
2024-09-13,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,KARACHI BAHRIA TOWN,Rawalpindi
2024-09-13,Kainat Travels Executive Class,9:30 AM,6200.0,Executive Class,Karachi,Rawalpindi
2024-09-13,Kainat Travels Business Plus,9:30 AM,6200.0,Business Plus,Karachi,Rawalpindi
2024-09-13,Kainat Travels Sleeper Class,9:30 AM,9500.0,Sleeper Class,Karachi,Rawalpindi
2024-09-13,Adil Express Luxury 49,9:30 AM,6750.0,Luxury 49,Karachi,Rawalpindi
2024-09-13,Warraich Express Executive,9:30 AM,2793.4294871794873,Executive,Karachi,Rawalpindi
2024-09-13,Warraich Express Executive Plus,9:30 AM,2793.4294871794873,Executive Plus,Karachi,Rawalpindi
2024-09-13,MG Transport 42 Seater,9:30 AM,6500.0,42 Seater,Karachi,Rawalpindi
2024-09-14,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,Karachi,Rawalpindi
2024-09-14,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,KARACHI BAHRIA TOWN,Rawalpindi
2024-09-14,Daewoo Express Sleeper,9:30 AM,2793.4294871794873,Sleeper,Karachi,Rawalpindi
2024-09-14,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,Karachi,Rawalpindi
2024-09-14,Daewoo Express Gold Class,9:30 AM,2793.4294871794873,Gold Class,KARACHI BAHRIA TOWN,Rawalpindi
2024-09-14,Kainat Travels Executive Class,9:30 AM,6200.0,Executive Class,Karachi,Rawalpindi
2024-09-14,Kainat Travels Business Plus,9:30 AM,6200.0,Business Plus,Karachi,Rawalpindi
2024-09-14,Kainat Travels Sleeper Class,9:30 AM,9500.0,Sleeper Class,Karachi,Rawalpindi
2024-09-14,Adil Express Luxury 49,9:30 AM,6750.0,Luxury 49,Karachi,Rawalpindi
2024-09-14,Warraich Express Executive,9:30 AM,2793.4294871794873,Executive,Karachi,Rawalpindi
2024-09-14,Warraich Express Executive Plus,9:30 AM,2793.4294871794873,Executive Plus,Karachi,Rawalpindi
2024-09-15,Daewoo Express Luxury,9:30 AM,2793.4294871794873,Luxury,Karachi,Rawalpindi
