name,rating,category
Royal Inn Hotel,4.44,Hotels
Hotel reservations lahore,4.886792452830188,Hotels
Legend Hotel,3.5350877192982457,Hotels
The Hostel,3.8222222222222224,Hotels
Rehman Suites & Hotel Apartments,4.41,Hotels
Envoy Continental Hotel,3.965116279069768,Hotels
Royal Galaxy guest House,4.583333333333333,Hotels
Evergreen Guest Lodge - (unmarried couples not allowed),4.2,Hotels
THe comfort guest house,5.0,Hotels
Family guest house lahore,3.876923076923077,Hotels
Shades Hotel Apartments,4.714285714285714,Hotels
Sheltons Rezidor Islamabad,4.0,Hotels
City Continental Hotel,4.2,Hotels
Hotel royal plaza,3.89,Hotels
Royal Villa Guest House,3.809090909090909,Hotels
Safari Club 3 Bahria Town,3.0,Hotels
GLORIOUS HOTEL LAHORE,4.444444444444445,Hotels
Elegantly Furnished 2 Bed Apartment.,3.1,Hotels
Punjab hotel,4.492753623188406,Hotels
Embassy Lodge Hotel and Marquee,3.8764044943820224,Hotels
Royal Guest House & Furnished Properties,3.919191919191919,Hotels
Hayat Grand Guest House,4.559322033898305,Hotels
Orange Line Hotel,3.44,Hotels
Royal Residence Hotel,3.94,Hotels
Hotel Continental,4.35,Hotels
Ramada by Wyndham Islamabad,4.055555555555555,Hotels
Lasani 1 Hotel,4.205882352941177,Hotels
Bahria Royal Apartments and homes,3.5689655172413794,Hotels
Redbury Guesthouse,4.647058823529412,Hotels
Homewood Suites Family Guest House  Apartments - Deluxe Queen Suite,4.616666666666666,Hotels
The Nishat Hotel - Gulberg,4.563218390804598,Hotels
DE Shalimar Hotel & Guest House Islamabad,4.44,Hotels
Luxury Apartment Hotel,4.886792452830188,Hotels
Bahria Town Luxury Suites & Villas,4.54,Hotels
Hafiz Hotel,4.264705882352941,Hotels
Hotel Grand Arena,3.8222222222222224,Hotels
Safari Hotel 25 R3 Johar town Lahore,4.101010101010101,Hotels
La Maison Hotel Islamabad,4.41,Hotels
Luxury 5star hotel,4.365384615384615,Hotels
Guest House in Islamabad,4.583333333333333,Hotels
Royal Star Hotel,4.41,Hotels
Eleven residency,5.0,Hotels
Centaurus Hotel Suites,3.876923076923077,Hotels
Hotel Ravi View & Restaurant,3.841666666666667,Hotels
A.K Hotel,3.922222222222222,Hotels
Hillside Residence by Paramount Hospitality,4.714285714285714,Hotels
Bless Inn & Restaurant,4.2,Hotels
Landmark hotel,4.522222222222222,Hotels
Royal Luxus,3.89,Hotels
A One Hotel Railway Station,3.2413793103448274,Hotels
Royal Blue Inn Hotel,4.444444444444445,Hotels
The Residence - Luxury Hotel Apartments,3.5416666666666665,Hotels
Hotel Rest INN,3.733333333333333,Hotels
Hotel Hill Park,4.492753623188406,Hotels
Hotel Air Inn,4.636363636363637,Hotels
Hotel Eden Rock,3.919191919191919,Hotels
White House Hotel,4.6125,Hotels
Lion Hotel,4.204545454545454,Hotels
Pine Apartments Bahria Civic centre Islamabad,3.44,Hotels
Queen Spa,4.9,Hotels
Marine Tower - Apartment,3.94,Hotels
S Chalet Islamabad,4.205882352941177,Hotels
Bravo Suites Hotel,4.305084745762712,Hotels
Hotel Royal Palace,3.5689655172413794,Hotels
Luxus Suites,4.024390243902439,Hotels
Royal Guest House Lahore Dha,3.2666666666666666,Hotels
Two bed room studio lahore,4.7,Hotels
Rehmat Residency,4.616666666666666,Hotels
Yu Long Restaurant,4.0,Hotels
Hotel Relax Inn,4.563218390804598,Hotels
Hotel Twenty One Gulberg,3.84,Hotels
Laraib Inn Hotel,4.54,Hotels
De Classio Hotel,4.611111111111111,Hotels
Family Inn,4.264705882352941,Hotels
Highland Country Club & Resorts,4.101010101010101,Hotels
Chancery Hotel,4.03,Hotels
Infinity Villa,4.365384615384615,Hotels
Hotel Shine inn Lawrence road Lahore,3.6,Hotels
Key View Hotel,4.775,Hotels
Moon Light Guest House,4.41,Hotels
Boys Hostel Johar Town,4.454545454545454,Hotels
Mulberry Guest House Islamabad,3.841666666666667,Hotels
Hotel Versa Apartment and Lodges Lahore,2.675,Hotels
FortVista Eatery & Lodges,4.478632478632479,Hotels
Margalla Meridian,3.922222222222222,Hotels
IFQ Hotel & Resort Islamabad,4.522222222222222,Hotels
Shamshad Hotel Railway Station,3.986666666666667,Hotels
Royalton Hotel - Rawalpindi,3.2413793103448274,Hotels
The FRED Hotel,4.635135135135135,Hotels
Grand Ittehad Boutique Hotel,3.7560975609756095,Hotels
